user_id ;country ;Days_Since_Registration;Deposit_count;Av_Deposit;Last_deposit_day;Total_sessions;Total_game_time;Favorite_Game;device_type ;Churn_risk;Age;Gender;Lifecycle_Stage;Future_Value
1;CHILE;1720;0;0;0;2;131.03;Live Roulette;Desktop;0%;30;Male;Dormant;5438.0467
2;MEXICO;1720;0;0;0;2;120.72;Bookofdead;Mobile;100%;30;Male;Dormant;5438.0467
3;COLOMBIA;1720;0;0;0;2;124.21;Tomeofmadness;Mobile;100%;30;Male;Dormant;5438.0467
4;COSTARICA;1720;0;0;0;2;88.99;John Hunter And The Tomb Of The Scarab Queen;Mobile;100%;30;Male;Dormant;5438.0467
5;ELSALVADOR;1720;0;0;0;2;96.01;Sizzling Hot� Deluxe;Mobile;100%;30;Male;Dormant;5438.0467
6;ESTADOS UNIDOS;1720;0;0;0;1;67.77;Basketballstar;Mobile;100%;30;Male;Dormant;5438.0467
7;CANNADA;1720;0;0;0;1;79.4;Pop Age Of The Gods: Glorious Griffin (Gpas);Mobile;100%;30;Male;Dormant;5438.0467
8;CANADA;1720;0;0;0;2;109.04;Kingfisher;Mobile;0%;30;Male;Dormant;5438.0467
9;EEUU;1720;0;0;0;1;83.71;5 Lions Megaways;Mobile;0%;30;Male;Dormant;5438.0467
10;CL;1720;0;0;0;2;104.57;Mustang Gold;Mobile;100%;30;Male;Dormant;5438.0467
11;PER�;1720;0;0;0;2;85.51;Treasuresofkilauea2;Mobile;0%;30;Male;Dormant;5438.0467
12;PERU;1720;0;0;0;2;96.08;Gold Hit: Shrine Of Anubis�;Mobile;100%;30;Male;Dormant;5438.0467
13;VENEZUELA;1720;0;0;0;2;91.17;Chilli Heat;Mobile;0%;30;Male;Dormant;5438.0467
14;CHILE;1720;0;0;0;2;116.95;Gates Of Olympus Super Scatter;Mobile;100%;30;Male;Dormant;5438.0467
15;COSTARICA;1720;0;0;0;2;114.61;Monster Superlanche;Mobile;0%;30;Male;Dormant;5438.0467
